phase angle (phi_L),L0,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
0.5235987755982988,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
0.6663984416705622,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
0.8091981077428254,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
0.9519977738150888,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
1.0947974398873521,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
1.2375971059596154,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
1.3803967720318786,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
1.523196438104142,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
1.6659961041764055,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
1.8087957702486688,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
1.951595436320932,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
2.0943951023931953,0.0,0.2812971418254377,0.8559002612239062,0.3286564504878092,0.8154226154841262,0.15471975511965977
0.5235987755982988,0.225,0.3450923022502944,0.6928518017342318,0.4980752036532438,0.7932131052222794,0.15471975511965977
0.6663984416705622,0.225,0.33757740909608075,0.675962053298055,0.49940289909621777,0.7860864633563587,0.15471975511965977
0.8091981077428254,0.225,0.3290223406711762,0.6628781691115373,0.49635416582230846,0.7794960960028788,0.15471975511965977
0.9519977738150888,0.225,0.3195875856622518,0.6538706906589817,0.48876267162268144,0.773586327563279,0.15471975511965977
1.0947974398873521,0.225,0.309436499979331,0.6491952865482987,0.47664625173816566,0.7684955293504244,0.15471975511965977
1.2375971059596154,0.225,0.29880034813859757,0.6490332944362076,0.4603775348661503,0.7644279427750925,0.15471975511965977
1.3803967720318786,0.225,0.28791078419204996,0.6534213130033656,0.44062043655831445,0.7614815240948192,0.15471975511965977
1.523196438104142,0.225,0.27697660480028125,0.6623443607360288,0.41817613498285333,0.7597606270048995,0.15471975511965977
1.6659961041764055,0.225,0.2662134487849499,0.6757665787019115,0.39394290451049335,0.7593453634997825,0.15471975511965977
1.8087957702486688,0.225,0.2558490994211989,0.6935051989661699,0.3689216747078482,0.7602653066887831,0.15471975511965977
1.951595436320932,0.225,0.24609898467632096,0.7153103771444631,0.34404503630823063,0.7625409499152112,0.15471975511965977
2.0943951023931953,0.225,0.2372147326422453,0.7407666525336386,0.3202286871728115,0.7661480172032344,0.15471975511965977
0.5235987755982988,0.45,0.4226328840474067,0.5630268485061869,0.7506442812962276,0.7814214189090698,0.15471975511965977
0.6663984416705622,0.45,0.4092233518800885,0.5297209545583348,0.7725262675728705,0.7679103970061529,0.15471975511965977
0.8091981077428254,0.45,0.39304996272717185,0.5040054068047826,0.7798526710635323,0.7549987747629308,0.15471975511965977
0.9519977738150888,0.45,0.3754810633595172,0.4849671934327741,0.774240130969944,0.7428985948881262,0.15471975511965977
1.0947974398873521,0.45,0.35637631841851736,0.4744980017900578,0.7510596821779588,0.7322602626542555,0.15471975511965977
1.2375971059596154,0.45,0.33597222918167263,0.473336597626775,0.7097955891561677,0.7235015166780366,0.15471975511965977
1.3803967720318786,0.45,0.3145871404876545,0.48182795251111304,0.65290346657586,0.7169468273430564,0.15471975511965977
1.523196438104142,0.45,0.29270292707164486,0.49990788853930235,0.5855137191911561,0.7128311926962088,0.15471975511965977
