phi,frequency,thrust,power,efficiency,LE sigma magnitude
0.0,0.2,0.9048401048362181,-1.0091579022517403,0.8966288653314242,1.6375782227029292
0.0,0.28571428571428575,2.0376577022879707,-3.1686380521383852,0.6430705144479466,2.6292863683733834
0.0,0.37142857142857144,3.6781780161030273,-7.224592122358801,0.5091191244858979,3.679847225526425
0.0,0.4571428571428572,5.624131966118583,-13.295610333299491,0.4230066785300315,4.73893844858185
0.0,0.5428571428571429,8.442672201724989,-24.009268106232827,0.35164221434693643,5.890366228503896
0.0,0.6285714285714287,11.27549267211043,-36.57355800416391,0.3082963016840394,6.897170194219457
0.0,0.7142857142857144,14.946017458557895,-55.11369585700677,0.27118517867746594,8.051373882716439
0.0,0.8,19.409591534845212,-79.35098508790986,0.24460429209973994,9.2984994288189
0.17951958020513104,0.2,0.9043874634340928,-0.995597070503301,0.9083870274717669,1.6223955220560116
0.17951958020513104,0.28571428571428575,2.041769892518024,-3.130424633618661,0.6522341635670715,2.6325797029951494
0.17951958020513104,0.37142857142857144,3.7080595622381938,-7.164931262629278,0.5175289791792735,3.7112699465707992
0.17951958020513104,0.4571428571428572,5.691622764058975,-13.24290746546524,0.429786493555252,4.808206707413233
0.17951958020513104,0.5428571428571429,8.515274782554624,-23.77126207422614,0.3582171933473933,5.920037133620231
0.17951958020513104,0.6285714285714287,11.354758194031227,-36.26414933889085,0.3131124926692825,6.9423545869340115
0.17951958020513104,0.7142857142857144,15.003510376184536,-54.233156035231495,0.27664829917768025,8.399761672037554
0.17951958020513104,0.8,19.846291833955934,-79.11999337560621,0.2508378854348441,9.316093934662458
0.35903916041026207,0.2,0.9034457182236899,-0.9811960584423071,0.9207596284660485,1.5940612675238077
0.35903916041026207,0.28571428571428575,2.0492610071734334,-3.091346234609499,0.6629024546751546,2.6069444009295455
0.35903916041026207,0.37142857142857144,3.7541470124738088,-7.104463596067614,0.5284208950766901,3.698387858973135
0.35903916041026207,0.4571428571428572,5.772128008974101,-13.176183516798822,0.43807283054421586,4.775051805463527
0.35903916041026207,0.5428571428571429,8.789822474680864,-23.87386783517763,0.3681775628216074,5.936337447762596
0.35903916041026207,0.6285714285714287,12.004368988745801,-37.02933992605206,0.32418533553983514,7.126667025166361
0.35903916041026207,0.7142857142857144,14.935318281315027,-53.90734104224589,0.2770553693162231,7.855054392748522
0.35903916041026207,0.8,18.88368973511883,-76.26106869939505,0.24761900216156588,8.627988514132293
0.5385587406153931,0.2,0.9018878825403,-0.9674607715854382,0.9322216559357959,1.5524195229869786
0.5385587406153931,0.28571428571428575,2.0561977042977753,-3.053101314155491,0.673478372553298,2.5611126772489454
0.5385587406153931,0.37142857142857144,3.81675594645139,-7.067283927247056,0.5400598003055106,3.677349073034779
0.5385587406153931,0.4571428571428572,5.980076220722565,-13.243706505234188,0.4515409804920635,4.844211495572113
0.5385587406153931,0.5428571428571429,9.202497965149728,-24.03890557294417,0.38281684402085076,6.048888006970139
0.5385587406153931,0.6285714285714287,12.534006058995153,-37.37016617586762,0.33540140014387165,7.198306223908142
0.5385587406153931,0.7142857142857144,16.03479093395239,-55.466151863110035,0.28909146200598357,8.113886684824308
0.5385587406153931,0.8,21.102046316207044,-79.71252522899125,0.26472685761223735,9.433279554299128
0.7180783208205241,0.2,0.8999944036261487,-0.9561605644415874,0.9412586516279924,1.4993649256088373
0.7180783208205241,0.28571428571428575,2.0626742969390897,-3.0284879284083077,0.6810904800347598,2.4845544312851597
0.7180783208205241,0.37142857142857144,3.817405658801777,-7.016885710392011,0.5440313290478991,3.548389819977786
0.7180783208205241,0.4571428571428572,5.909980998778906,-13.171895942309812,0.4486811180913821,4.5829516786389055
0.7180783208205241,0.5428571428571429,9.15144929800922,-23.894017351271852,0.3830017013661413,5.7886175116332215
0.7180783208205241,0.6285714285714287,12.600679926145869,-37.43519264882075,0.3365998418748034,6.952607892197411
0.7180783208205241,0.7142857142857144,16.171795533553688,-55.78613053878231,0.2898891781409918,7.872000504213566
0.7180783208205241,0.8,20.747780977541456,-79.60096094409052,0.2606473682159957,8.827272564347004
0.8975979010256552,0.2,0.8975487656600737,-0.9482978687492107,0.9464840059631534,1.4364889229510374
0.8975979010256552,0.28571428571428575,2.0674976810653685,-3.016752216060689,0.6853389118464398,2.3823701647666935
0.8975979010256552,0.37142857142857144,3.8642158256810784,-7.024335435143745,0.5501183508902293,3.4262214183657402
0.8975979010256552,0.4571428571428572,6.117843862238164,-13.331151348867365,0.4589133903095283,4.550771672689674
0.8975979010256552,0.5428571428571429,9.188353295820747,-23.989396999968466,0.38301726783015116,5.496709119795091
0.8975979010256552,0.6285714285714287,12.403432968163878,-37.57444193957681,0.3301029191094774,6.5356570095479665
0.8975979010256552,0.7142857142857144,16.721358741653415,-56.76862698094364,0.294552812546735,7.729605427463668
0.8975979010256552,0.8,21.370929681209624,-80.92161471708349,0.26409420716487475,8.542722535813281
1.0771174812307862,0.2,0.8956779777132786,-0.9463536726968681,0.9464516317254028,1.3643963419254714
1.0771174812307862,0.28571428571428575,2.0774678041388683,-3.0220538310136953,0.6874357375169647,2.2824137397330926
1.0771174812307862,0.37142857142857144,3.884783070943529,-7.061822217554595,0.550110573625963,3.2591786574725967
1.0771174812307862,0.4571428571428572,6.151028940544967,-13.504682995327435,0.4554737747397105,4.269296404386602
1.0771174812307862,0.5428571428571429,8.972854537680723,-24.08473638518933,0.3725535706173845,5.131759905846409
1.0771174812307862,0.6285714285714287,12.502590655932856,-38.24657271937695,0.3268944056155557,6.140616025612028
1.0771174812307862,0.7142857142857144,17.259993925662037,-57.907441677272864,0.29806175900248977,7.497483835934123
1.0771174812307862,0.8,21.8208309726157,-82.11380099270085,0.2657388978322337,8.7140427688504
1.2566370614359172,0.2,0.8946256028115115,-0.9497506081268263,0.9419584416755081,1.2882730732125816
1.2566370614359172,0.28571428571428575,2.0832007193670607,-3.041836145069676,0.6848497486439538,2.157968946451138
1.2566370614359172,0.37142857142857144,3.9280912596925104,-7.131591458220299,0.5508014981936125,3.120218498520831
1.2566370614359172,0.4571428571428572,6.204728138215015,-13.723547633454908,0.45212275309113875,4.078606261550441
1.2566370614359172,0.5428571428571429,9.273522593257608,-24.524720420480104,0.3781295947216375,4.886007895227516
1.2566370614359172,0.6285714285714287,12.932815865280636,-39.107946046102015,0.33069534897166203,6.006552786918962
1.2566370614359172,0.7142857142857144,16.48230393785805,-58.03978234684045,0.2839828695318205,6.84849197973976
1.2566370614359172,0.8,21.542344617058422,-83.43464376970591,0.2581942421486095,7.870494426383829
1.4361566416410483,0.2,0.8940702189317686,-0.9578816550585314,0.9333827558031023,1.2243338597388607
1.4361566416410483,0.28571428571428575,2.086112573524936,-3.0744936541205137,0.6785223221160582,2.024494141731955
1.4361566416410483,0.37142857142857144,3.9296604398487878,-7.216103972578763,0.5445681568310989,2.9110945361899576
1.4361566416410483,0.4571428571428572,6.25666184037877,-13.975286965645246,0.44769469534036843,3.8054193440594326
1.4361566416410483,0.5428571428571429,9.519184541412828,-24.88908803270323,0.3824641758229556,4.687823530314565
1.4361566416410483,0.6285714285714287,12.260500084458242,-39.53821932189255,0.31009236871903156,5.390316171237261
1.4361566416410483,0.7142857142857144,17.008982883790353,-59.875074443277875,0.28407451751736296,6.422110054126122
1.4361566416410483,0.8,21.52007280963019,-84.9647001171673,0.25328251356097015,7.33955826038089
1.6156762218461793,0.2,0.8940430387927634,-0.970059536413215,0.9216372864066449,1.2968473436650074
1.6156762218461793,0.28571428571428575,2.0852172076666644,-3.1150635097118444,0.6693979757284484,1.9599870462796198
1.6156762218461793,0.37142857142857144,3.914883089213472,-7.300890942910708,0.5362199106692439,2.6998909692790747
1.6156762218461793,0.4571428571428572,6.216953604418171,-14.200399244603267,0.4378013249719629,3.4928699811978916
1.6156762218461793,0.5428571428571429,9.358724943686882,-25.08274119739165,0.3731141213808041,4.267641661322301
1.6156762218461793,0.6285714285714287,12.834651763339078,-40.34499026149072,0.3181225644163744,5.076162731387732
1.6156762218461793,0.7142857142857144,16.808940138910103,-60.618047377980155,0.27729266886640175,5.826161060186581
1.6156762218461793,0.8,21.903032603720014,-87.43018796714583,0.2505202506478729,6.772111181994081
1.7951958020513104,0.2,0.8946452116803079,-0.9848616282267171,0.9083968610810358,1.3671587445414368
1.7951958020513104,0.28571428571428575,2.080859583462831,-3.1569990235097287,0.6591258242295807,2.080273798996692
1.7951958020513104,0.37142857142857144,3.8820371251919803,-7.3707239235178825,0.5266832899283481,2.792591082811564
1.7951958020513104,0.4571428571428572,6.159354490620394,-14.361348062973585,0.42888414538886055,3.483799093426515
1.7951958020513104,0.5428571428571429,9.224250934199937,-25.17570338264762,0.3663949639857038,4.246373939415807
1.7951958020513104,0.6285714285714287,12.589419001064364,-40.512774697747645,0.31075183309437177,5.101016798612996
1.7951958020513104,0.7142857142857144,16.723291259128686,-61.27462987499648,0.2729235785388683,6.067872691712606
1.7951958020513104,0.8,21.76679579237068,-88.48628209810016,0.24599062449294637,7.012495999490015
1.9747153822564414,0.2,0.8959219172372461,-1.0004125928086847,0.8955524187494699,1.4326721236501616
1.9747153822564414,0.28571428571428575,2.073520219836291,-3.194206109706727,0.649150414412885,2.19278562786059
1.9747153822564414,0.37142857142857144,3.8399254971754453,-7.410635055525253,0.5181641611554542,2.9472072533034592
1.9747153822564414,0.4571428571428572,6.092253008555449,-14.42593047217831,0.4223126556935028,3.672118292438452
1.9747153822564414,0.5428571428571429,9.090213622821086,-25.060887645082392,0.3627251257640439,4.4960771568730955
1.9747153822564414,0.6285714285714287,12.495080614257407,-40.52870364787547,0.3083020054827834,5.394461712618845
1.9747153822564414,0.7142857142857144,16.497957798494415,-61.08992353556173,0.2700602135946464,6.406894781159243
1.9747153822564414,0.8,21.11990712344414,-86.93347117352756,0.24294333170346752,7.6353772354077565
2.1542349624615724,0.2,0.8976984298119939,-1.0149535746700857,0.8844724056504693,1.4910191654183713
2.1542349624615724,0.28571428571428575,2.064219254950948,-3.2223670275630845,0.6405909808827749,2.294725086985302
2.1542349624615724,0.37142857142857144,3.790664826108154,-7.421222753135195,0.510787096978963,3.08232845799191
2.1542349624615724,0.4571428571428572,6.00971100319783,-14.40160957398176,0.41729439840218246,3.8669768313461157
2.1542349624615724,0.5428571428571429,8.908122093875715,-24.77501050787588,0.359560779643014,4.727015903305271
2.1542349624615724,0.6285714285714287,12.291705228742924,-39.98433068024522,0.3074130545547884,5.662895133635147
2.1542349624615724,0.7142857142857144,16.289521926935773,-60.22871352195192,0.27046106374160944,6.776756842636075
2.1542349624615724,0.8,20.896359497075533,-85.90121162051553,0.24326035806560053,7.895529713284423
2.3337545426667035,0.2,0.8998067497544542,-1.0268125547760676,0.8763106231698623,1.543256075243669
2.3337545426667035,0.28571428571428575,2.054594319966776,-3.238673416087049,0.6343937952376587,2.384623086335628
2.3337545426667035,0.37142857142857144,3.740231502841074,-7.403247431526145,0.5052149799713019,3.206193286249817
2.3337545426667035,0.4571428571428572,5.919113482054635,-14.304441017010006,0.4137955111294437,4.035305336793357
2.3337545426667035,0.5428571428571429,8.720906689893836,-24.355038351638235,0.3580740282146682,4.9067512702999565
2.3337545426667035,0.6285714285714287,12.038154599312687,-39.159437731061956,0.3074138776452301,5.891410031443546
2.3337545426667035,0.7142857142857144,15.890160204160892,-58.64942749126147,0.2709346175037849,7.010605994031232
2.3337545426667035,0.8,20.317444174342448,-83.23137956230964,0.2441079828447655,8.018087855712809
2.5132741228718345,0.2,0.9020754989629561,-1.034701203735629,0.8718222185362807,1.5870946010586173
2.5132741228718345,0.28571428571428575,2.0461277349674147,-3.2417586121005524,0.6311783139342357,2.4746320065650282
2.5132741228718345,0.37142857142857144,3.693136988177303,-7.363520891917809,0.5015449867509557,3.341944299260887
2.5132741228718345,0.4571428571428572,5.831799859665588,-14.167050330380933,0.4116453124444274,4.193992718145951
2.5132741228718345,0.5428571428571429,8.538925521082259,-23.86392172208731,0.35781736214710413,5.044869270142985
2.5132741228718345,0.6285714285714287,11.777557954716912,-38.17520731630263,0.3085132677115111,6.012024056830561
2.5132741228718345,0.7142857142857144,15.509816461430999,-56.76547094689216,0.27322624480542856,7.072815651391313
2.5132741228718345,0.8,19.139288697090258,-80.91317097977146,0.23654107811292105,9.074916309721587
2.6927937030769655,0.2,0.9042360545317685,-1.0379760602645636,0.8711530922026208,1.6187657136613334
