phi,length ratio,thrust,power,efficiency,LE sigma magnitude
0.0,-0.5,0.33635118689532084,-0.519411548369472,0.6475620111859061,0.9640699514323551
0.0,-0.25,0.3056961933282573,-0.7417071335178902,0.41215215482470996,1.033547004143308
0.0,0.25,0.6599749258249396,-1.8588106915858638,0.3550522540097265,1.6446225456887944
0.0,0.5,1.128802986402991,-3.0912828610442262,0.3651568093712669,2.4582331689115233
0.5711986642890533,-0.5,0.29397980298635645,-0.46674163612603486,0.6298555351230176,0.7264963650795334
0.5711986642890533,-0.25,0.2968222861714873,-0.7247181555189699,0.40956927035853435,0.9133314436480421
0.5711986642890533,0.25,0.6570805526370276,-1.8263263764758138,0.35978265500658685,1.4991321832713376
0.5711986642890533,0.5,1.1231114373621889,-2.956611774841557,0.3798643592368077,2.0816465962696005
1.1423973285781066,-0.5,0.20773781153411028,-0.47483211432619815,0.4374973917442312,0.8198849390705143
1.1423973285781066,-0.25,0.274154881283044,-0.7248541074621961,0.37822077361594064,0.9082113328397786
1.1423973285781066,0.25,0.627830607167197,-1.8157873931070003,0.3457621798402916,1.2917086193476115
1.1423973285781066,0.5,0.9963612684915476,-2.9211995798696866,0.3410794919174933,1.5476391837077244
1.7135959928671598,-0.5,0.1852535320557552,-0.5344715231768041,0.3466106687118539,1.0060229229007136
1.7135959928671598,-0.25,0.2650522388596179,-0.742023961314751,0.3572017248472496,1.00486463898711
1.7135959928671598,0.25,0.6067146898552206,-1.8356501385154904,0.33051760633748933,1.4231773799235181
1.7135959928671598,0.5,0.9243339489595042,-2.995844065702765,0.3085387385617061,1.9388779330424237
2.284794657156213,-0.5,0.24875163517562462,-0.5739677142944809,0.4333895948858191,1.104313924199794
2.284794657156213,-0.25,0.28035035706124817,-0.7558961989971501,0.37088472919058185,1.0783387698718219
2.284794657156213,0.25,0.6143168530978634,-1.8612952522591177,0.33004804173451047,1.5863665058086691
2.284794657156213,0.5,0.9590113233283062,-3.0715411912755557,0.31222479648076806,2.2805654677457
2.8559933214452666,-0.5,0.32285486879827957,-0.5477375192947491,0.5894335469550782,1.0443617753680112
2.8559933214452666,-0.25,0.3034381985626324,-0.7504297805353037,0.4043525542738735,1.0749363278473076
2.8559933214452666,0.25,0.6394315965221046,-1.8661931926344177,0.34263955042052685,1.6439560764459757
2.8559933214452666,0.5,1.0563734429433087,-3.1108260728425225,0.3395797187651979,2.4893537339696667
3.4271919857343196,-0.5,0.32948796873834574,-0.48745045751549004,0.6759414493479583,0.8558325818990834
