phi,L0,thrust,power,efficiency,LE sigma magnitude
0.0,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
0.0,0.5,3.15857566665662,8.018527442074728,0.39390969095933714,2.1999798712099348
0.0,1.0,4.260299296487343,11.01756777611145,0.3866823770056241,2.3328767291759633
0.0,1.5,5.646834826453597,19.258729811786253,0.2932090995428868,2.59680802611016
0.17951958020513104,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
0.17951958020513104,0.5,3.1783459074648253,7.270492030902001,0.43715692059846867,2.2182956741733153
0.17951958020513104,1.0,4.386183222563853,9.583987634705158,0.45765743756604804,2.2929609267220097
0.17951958020513104,1.5,5.889306739474367,16.26771708062077,0.36202416788340364,2.6831343254089854
0.35903916041026207,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
0.35903916041026207,0.5,3.1757435552256945,6.575797040632379,0.48294427817685365,2.2403527820034164
0.35903916041026207,1.0,4.5383685345274305,8.415428118032825,0.5392914621660759,2.407076120156892
0.35903916041026207,1.5,6.196422311344991,13.516941668820039,0.4584189577172236,2.7879852673016945
0.5385587406153931,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
0.5385587406153931,0.5,3.1548143232118537,5.9408098443412785,0.531041121643856,2.2607638453618017
0.5385587406153931,1.0,4.550374303130452,7.322721665221428,0.6214047878867257,2.5289900767849107
0.5385587406153931,1.5,6.3789948168455615,11.028741369360871,0.578397353170975,2.8795482881788437
0.7180783208205241,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
0.7180783208205241,0.5,3.0982840215389706,5.361300294220251,0.5778978702012039,2.287448090744965
0.7180783208205241,1.0,4.502867702072962,6.4866298385731564,0.6941767626844333,2.5737935454752803
0.7180783208205241,1.5,6.388449055370734,8.810604988232848,0.725086309498943,3.016196422368597
0.8975979010256552,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
0.8975979010256552,0.5,3.011819439688664,4.85412732212643,0.6204656861718426,2.309741539011962
0.8975979010256552,1.0,4.348270082884587,5.7923672819094865,0.7506896353870632,2.6761333916782712
0.8975979010256552,1.5,6.296607317921698,7.6687829864271135,0.8210699571321796,3.164872117067135
1.0771174812307862,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
1.0771174812307862,0.5,2.892105462261671,4.436638690611143,0.6518686023231894,2.334397946109721
1.0771174812307862,1.0,4.164755940331887,5.094063939614158,0.817570409343417,2.7567288260278073
1.0771174812307862,1.5,5.953267923385703,7.102909268652481,0.8381450048446303,3.434204946338005
1.2566370614359172,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
1.2566370614359172,0.5,2.7931395524074083,4.158196191023884,0.6717190397213186,2.3718226500426964
1.2566370614359172,1.0,3.997474177663236,4.4303633186433995,0.9022903744353147,2.8469656056539825
1.2566370614359172,1.5,5.467578533297667,6.818785704417934,0.8018404992189722,3.7534766912019797
1.4361566416410483,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
1.4361566416410483,0.5,2.6138937399745092,3.965568201579945,0.6591473420966742,2.3744173903805432
1.4361566416410483,1.0,3.526896318626083,3.882485976899245,0.9084118628144655,2.9039180628756878
1.4361566416410483,1.5,5.063923151863138,6.833758903945067,0.7410157752184938,4.222239260609802
1.6156762218461793,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
1.6156762218461793,0.5,2.4454620157614175,3.9204283370939303,0.6237741913614849,2.4058308208748507
1.6156762218461793,1.0,3.382130939862063,3.280853897617389,1.030869110727004,2.979596907152992
