phase angle (phi_L),pivot loc. alpha0,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
0.0,-1.0,-0.029861022022332942,0.5107700059034942,-0.05846275559879868,0.8299714347814084,0.27311944901923446
0.41887902047863906,-1.0,-0.021984042218652987,0.44265860871584695,-0.04966365001333356,0.8130161896391531,0.27311944901923446
0.8377580409572781,-1.0,-0.009472027665191193,0.3751628280672165,-0.02524777764894694,0.7949586553304132,0.27311944901923446
1.2566370614359172,-1.0,0.005461964107176846,0.3199953473226594,0.017068886009987544,0.779378399964351,0.27311944901923446
1.6755160819145563,-1.0,0.020200164607243686,0.28664926879299707,0.07046996733081212,0.7698380788984762,0.27311944901923446
2.0943951023931953,-1.0,0.03220369193452907,0.28079694086679885,0.11468676202496622,0.7683425460057303,0.27311944901923446
2.5132741228718345,-1.0,0.03945298024346003,0.3034195347835384,0.13002781864920485,0.7747947267810787,0.27311944901923446
2.9321531433504733,-1.0,0.040729425666056925,0.3505973806127956,0.11617150588765819,0.7874454128678314,0.27311944901923446
3.3510321638291125,-1.0,0.03583012240172184,0.41418028986110433,0.08650851640897132,0.8037280932469667,0.27311944901923446
3.7699111843077517,-1.0,0.025582835639365784,0.4832436090833985,0.052939832329889504,0.8208050719364467,0.27311944901923446
4.1887902047863905,-1.0,0.011715092030438782,0.5459123878340307,0.021459655965895438,0.8359544644625827,0.27311944901923446
4.607669225265029,-1.0,-0.0034131439021543057,0.5913651488041521,-0.005771635188607755,0.8469184722187011,0.27311944901923446
5.026548245743669,-1.0,-0.0171942442537294,0.6116973166650728,-0.028109072551553947,0.8521230707439335,0.27311944901923446
5.445427266222308,-1.0,-0.027219622068069278,0.6033181072258487,-0.045116534282767295,0.8508302164268171,0.27311944901923446
5.864306286700947,-1.0,-0.03171169988178205,0.5676216145620326,-0.0558676749937549,0.843145929547848,0.27311944901923446
6.283185307179586,-1.0,-0.029861022022269947,0.5107700059034928,-0.05846275559867552,0.8299714347815249,0.27311944901923446
0.0,-0.5,-0.02756387705624624,0.3943160436866694,-0.06990300673169919,0.7162212213634461,0.23384954084936205
0.41887902047863906,-0.5,-0.0298080505672807,0.3660200186852643,-0.08143830677445062,0.7007703158271943,0.23384954084936205
0.8377580409572781,-0.5,-0.028290942491137366,0.3364170038542962,-0.08409486490578909,0.6873313349031768,0.23384954084936205
1.2566370614359172,-0.5,-0.023206665777243674,0.31053851747719874,-0.07473039404507244,0.6783570809735515,0.23384954084936205
1.6755160819145563,-0.5,-0.015422038569035328,0.292814843127902,-0.05266822680262474,0.6756335936211303,0.23384954084936205
2.0943951023931953,-0.5,-0.0063078026432484766,0.2862750991154301,-0.02203405976537653,0.679759539735753,0.23384954084936205
2.5132741228718345,-0.5,0.0025046026604693037,0.2921153354239212,0.008574019768029621,0.6898793985964575,0.23384954084936205
2.9321531433504733,-0.5,0.009437520338188085,0.30941388214819954,0.030501282853455842,0.7039110407496537,0.23384954084936205
3.3510321638291125,-0.5,0.013277901568104987,0.33523275055872176,0.03960800830460368,0.719228724796427,0.23384954084936205
3.7699111843077517,-0.5,0.013395419040929083,0.36510744363039394,0.03668897820250839,0.7332773849884688,0.23384954084936205
4.1887902047863905,-0.5,0.009828739609891609,0.3938083962363902,0.02495817687947857,0.7438694456923783,0.23384954084936205
4.607669225265029,-0.5,0.0032431833777567844,0.416285550960335,0.007790766146639102,0.7493801543162326,0.23384954084936205
5.026548245743669,-0.5,-0.00521460478548551,0.4285983435019297,-0.01216664708239133,0.7489210949666327,0.23384954084936205
5.445427266222308,-0.5,-0.014124341681814898,0.4286394027666831,-0.03295157092569732,0.7424736698716002,0.23384954084936205
5.864306286700947,-0.5,-0.022012620164862728,0.41648408807778026,-0.05285344817483585,0.7309660366186267,0.23384954084936205
6.283185307179586,-0.5,-0.027563877056146064,0.39431604368666884,-0.06990300673144523,0.7162212213636096,0.23384954084936205
0.0,0.0,0.020938972193146062,0.32777890184909225,0.06388139100785156,0.6533327088991602,0.19457963267948963
0.41887902047863906,0.0,0.009873080640100382,0.31377383948370663,0.0314655952718871,0.6349892000948468,0.19457963267948963
0.8377580409572781,0.0,-0.000835907194938661,0.3055413389409397,-0.0027358235642877754,0.6209896839580354,0.19457963267948963
1.2566370614359172,0.0,-0.009285290852524277,0.3045569741802118,-0.030487861515954003,0.6143758728364691,0.19457963267948963
1.6755160819145563,0.0,-0.013821106063254937,0.31079544316734864,-0.04447010523192557,0.6164537220075073,0.19457963267948963
2.0943951023931953,0.0,-0.013502093006241278,0.322946806515892,-0.041809030880064914,0.6264868842270335,0.19457963267948963
2.5132741228718345,0.0,-0.008353172963598476,0.33877975546431577,-0.024656647361203758,0.6421745610936781,0.19457963267948963
2.9321531433504733,0.0,0.0006351054489808945,0.3555593165071957,0.0017862151812524409,0.6604315576984869,0.19457963267948963
3.3510321638291125,0.0,0.011739129181693042,0.3705337921401173,0.03168166960937774,0.6780971460905826,0.19457963267948963
3.7699111843077517,0.0,0.022908965285265783,0.38131092963263624,0.060079487643684405,0.692441694834986,0.19457963267948963
4.1887902047863905,0.0,0.03220510091754636,0.386152899832364,0.08339986811319344,0.7014460412020843,0.19457963267948963
4.607669225265029,0.0,0.03814301892362586,0.3842021002194799,0.09927852789413752,0.7038878640117578,0.19457963267948963
5.026548245743669,0.0,0.039872795371533085,0.3756426259824429,0.10614555594496534,0.6993752028487121,0.19457963267948963
5.445427266222308,0.0,0.03719957827824121,0.361765973884827,0.1028277421416205,0.6883719752870466,0.19457963267948963
