phase angle (phi_L),reduced frequency f*,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
0.0,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
0.5711986642890533,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
1.1423973285781066,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
1.7135959928671598,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
2.284794657156213,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
2.8559933214452666,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
3.4271919857343196,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
3.998390650023373,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
4.569589314312426,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
5.140787978601479,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
5.711986642890533,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
6.283185307179586,0.2,0.04947485055353735,0.34187498532247756,0.14471620527272452,0.6381671269924314,0.07735987755982988
0.0,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
0.5711986642890533,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
1.1423973285781066,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
1.7135959928671598,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
2.284794657156213,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
2.8559933214452666,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
3.4271919857343196,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
3.998390650023373,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
4.569589314312426,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
5.140787978601479,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
5.711986642890533,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
6.283185307179586,0.4,0.28080663209988255,0.8589116613746598,0.3269330767386029,0.8137328926968986,0.15471975511965977
0.0,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
