phi,percent lengthening,thrust,power,efficiency,LE sigma magnitude
0.0,-0.5,4.494810406067843,10.074265692586136,0.4461675464223331,4.065995902170605
0.0,-0.25,4.7069356787445,11.818515324822753,0.3982679337783142,4.055183892041952
0.0,0.0,4.960709482201811,13.636023793232724,0.3637944284508882,3.839140868501122
0.0,0.25,5.276833648287909,15.456051821557116,0.34140889984129824,4.607278247063397
0.0,0.5,5.768995545746259,17.207305520046997,0.3352643177646388,6.183399611713154
0.17951958020513104,-0.5,4.528745022972734,9.98820940951417,0.45340909839744875,4.081658875861598
0.17951958020513104,-0.25,4.704824017558093,11.773394222817315,0.3996149222999731,3.9893483906485963
0.17951958020513104,0.0,4.960709482201811,13.636023793232724,0.3637944284508882,3.839140868501122
0.17951958020513104,0.25,5.373792347214447,15.613300299841004,0.34418042591989156,5.143768556870615
0.17951958020513104,0.5,5.898160949844604,17.417131044980565,0.3386413603142977,6.437757901363322
0.35903916041026207,-0.5,4.569850504344868,9.906817501112718,0.461283404466832,4.053818405723742
0.35903916041026207,-0.25,4.72436150186824,11.761321654766,0.4016862764699411,3.97338790511254
0.35903916041026207,0.0,4.960709482201811,13.636023793232724,0.3637944284508882,3.839140868501122
0.35903916041026207,0.25,5.316458313414041,15.53668735129036,0.34218737837783014,4.7745888740339755
0.35903916041026207,0.5,6.094116896971845,17.701921499212194,0.34426301671505305,6.605741275087648
0.5385587406153931,-0.5,4.64402450415657,9.890286036874146,0.4695541146982163,4.007219058747573
0.5385587406153931,-0.25,4.751184998607058,11.762695365364502,0.4039197523211406,3.9505213266970047
0.5385587406153931,0.0,4.960709482201811,13.636023793232724,0.3637944284508882,3.839140868501122
0.5385587406153931,0.25,5.355633856163137,15.589476464609794,0.34354161079887097,4.944531557248932
0.5385587406153931,0.5,5.946789091931821,17.52136284315256,0.33940219976985736,6.303083021345473
0.7180783208205241,-0.5,4.704583827494735,9.877078764730404,0.47631328447983146,3.923859044382965
0.7180783208205241,-0.25,4.733154054489304,11.735301349126164,0.4033261621220954,3.8383094491828404
